



"Name","Beitrags-ID","Themenschwerpunkte","Ort","Textkörper","Personenkategorie","Länder & Regionen"
"Viola Campos","2","","","","Autor*in",""
"Ulf Baumgärtner","5","","","","Redaktionsmitglied",""
"Laura Winkler","7","","","","Autor*in",""
"Manfred Etscheid","9","","","","Autor*in",""
"Peter Strack","11","","","","Ständige Mitarbeiter*in",""
"Gert Eisenbürger","13","","","","Redaktionsmitglied",""
"Gaby Küppers","14","","","","Redaktionsmitglied",""
"Klaus Jetz","27","","","","Ständige Mitarbeiter*in",""
"Hans-Ulrich Dillmann","42","","","","Ständige Mitarbeiter*in",""
"Hans-Georg Aldenhoven","49","","","","Autor*in",""
"Mr. Alix Arnold","50","","","","Redaktionsmitglied",""
"Mrs. Sigrid Becker-Wirth","51","","","","Redaktionsmitglied",""
"Uwe  Bennholdt-Thomsen, Bennholdt-Thomsen","52","","","","Ständige Mitarbeiter*in",""
"Mr. Frederik Caselitz","53","","","","Redaktionsmitglied",""
"Mrs. Barbara Eisenbürger","54","","","","Redaktionsmitglied",""
"Eduard  Fritsch","55","Landfrage, Menschenrechte, Jugendgewalt, Migration","","","Ständige Mitarbeiter*in",""
"Ralf  Heinen","56","","","Jahrgang 1954, Studium der Romanistik, seit 1992 an der Umsetzung des Layouts der Zeitschrift beteiligt


","Redaktionsmitglied",""
"Laura Held","57","Kunst, Geschichte","","","Redaktionsmitglied",""
"Andreas  Hetzer","58","Gewalt, Vertreibung, Soziale Bewegung","","Andreas Hetzer hat zuletzt als Dozent der Politikwissenschaft an der Universität Siegen gearbeitet und ist im Moment Lektor für den Deutschen Akademischen Austauschdienst (DAAD) am Institut für Soziologie der Universidad del Valle in Cali (Kolumbien). Er promoviert zu Medien als Akteuren in der politischen Transition am Beispiel Boliviens. Zurzeit beschäftigt er sich mit Gewaltmärkten, Vertreibung und sozialen Bewegungen in Kolumbien.


","Ständige Mitarbeiter*in",""
"Gaby Kleinen-Rätz","59","","","","Redaktionsmitglied",""
"Anja  Lenkeit","60","","","","Autor*in",""
"Werner Rätz","61","","","","Redaktionsmitglied",""
"Mr. Bettina  Reis","62","","","","Redaktionsmitglied",""
"Henry  Schmahlfeldt","63","","","","Redaktionsmitglied",""
"Barbara Schuchard ","64","","","","Ständige Mitarbeiter*in",""
"Mrs. Britt Weyde","65","Soziale Bewegung, Musik, Umwelt","","Britt Weyde ist Regionalwissenschaftlerin Lateinamerika und interessiert sich besonders für Uruguay, soziale Bewegungen, Musik und Umweltthemen.


","Redaktionsmitglied",""
"Mr. Gernot Wirth","66","","","","Redaktionsmitglied",""
"Jen Wörz","67","","","","Autor*in",""
"Gerold Schmidt","75","","","","Ständige Mitarbeiter*in",""
"Johannes Schweitzer","77","","","","Autor*in",""
"Anyela Heredia","79","","","","Autor*in",""
"Elizabeth Salguero","82","","","","Autor*in",""
"Daniel  Valencia Caravantes","84","","","","Autor*in",""
"Sergio Arauz","85","","","","Autor*in",""
"Till Baumann","90","","","","Ständige Mitarbeiter*in",""
"Anna-Lena Dießelmann","102","","","","Autor*in",""
"Laura Burzywoda","107","","","","Autor*in",""
